participant2,recording,chunk,block,part,length,confidence,happy,sooth,love,exaggerate,nat_inf_label2,duration2
TSMA11,3026,chunk22,FA1,17050830-17051630,0.8,2,2,0,2,1,T,12
TSMA11,3026,chunk22,FA1,17053090-17053610,0.52,2,1,1,2,0,T,13
TSMA11,2109,chunk22,FA1,22910806-22912224,1.418,3,1,3,3,0,T,13
TSMA11,2109,chunk22,FA1,22913178-22916060,2.882,3,0,2,1,0,T,27
TSMA11,2109,chunk22,FA1,22922720-22923548,0.828,3,1,2,2,0,T,13
TSMA11,3026,chunk24,FA1,17218110-17220010,1.9,2,0,3,1,0,T,14
TSMA11,2109,chunk24,FA1,24357316-24357612,0.296,2,0,1,1,0,T,10
TSMA11,2109,chunk25,FA1,24596984-24597664,0.68,2,2,0,2,2,T,15
TSMA11,2109,chunk25,FA1,24619425-24619972,0.547,1,2,1,1,2,T,11
TSMA11,2109,chunk26,FA1,25228708-25229502,0.794,2,3,0,1,3,T,10
TSMA11,2109,chunk26,FA1,25232574-25232876,0.302,2,2,0,1,1,T,17
TSMA11,2109,chunk26,FA1,25249904-25250976,1.072,2,2,2,2,0,T,15
TSMA11,8787,chunk27,FA1,15247140-15247970,0.83,2,1,2,2,0,T,11
TSMA11,8787,chunk27,FA1,15261275-15261815,0.54,2,2,2,2,1,T,12
TSMA11,3026,chunk27,FA1,29288558-29289409,0.851,2,0,2,1,1,T,15
TSMA11,2109,chunk28,FA1,29290304-29290976,0.672,2,2,0,2,2,T,11
TSMA11,2109,chunk28,FA1,29295990-29296388,0.398,2,1,0,0,1,T,16
TSMA11,3026,chunk29,FA1,29389847-29393064,3.217,2,0,0,0,0,C,16
TSMA11,2109,chunk3,FA1,3673484-3676022,2.538,3,0,2,2,0,T,29
TSMA11,2109,chunk3,FA1,3676723-3677069,0.346,2,1,0,1,2,T,15
TSMA11,8787,chunk30,FA2,19405200-19407670,2.47,2,2,1,1,3,T,16
TSMA11,8787,chunk30,FA2,19437965-19438269,0.304,2,2,0,2,1,T,13
TSMA11,8787,chunk31,FA2,19487165-19487565,0.4,2,2,0,1,2,T,15
TSMA11,2109,chunk31,FA1,30760496-30760800,0.304,2,2,0,1,3,T,11
TSMA11,2109,chunk31,FA1,30768460-30768992,0.532,2,1,0,1,3,T,13
TSMA11,8787,chunk32,FA2,19515289-19516639,1.35,2,3,0,2,3,A,13
TSMA11,8787,chunk32,FA2,19535129-19537143,2.014,2,0,0,1,2,C,23
TSMA11,8787,chunk32,FA2,19543969-19547395,3.426,2,0,0,0,2,C,25
TSMA11,2109,chunk32,FA1,31660680-31660968,0.288,2,2,0,0,2,T,14
TSMA11,8787,chunk37,FA1,25568287-25570482,2.195,2,0,0,0,3,C,14
TSMA11,8787,chunk38,FA1,25684779-25685401,0.622,2,0,2,1,0,A,13
TSMA11,8787,chunk38,FA1,25687416-25688388,0.972,2,1,0,1,2,A,18
