participant,ID,recording,chunk,block,part,length,rater_label,confidence,nat_inf_label,duration
TSMD10,10,7220,chunk37,FA1,15668705-15669471,0.766,cds,4,A,7
TSMD10,10,7220,chunk38,FA1,15710148-15711393,1.245,cds,3,C,6
TSMD10,10,7220,chunk40,FA2,16769798-16770312,0.514,ads,3,A,8
TSMD10,10,7220,chunk41,FA2,16862720-16863544,0.824,cds,3,A,6
TSMD10,10,7220,chunk45,FA1,22509634-22510507,0.873,ads,3,A,5
TSMD10,10,7220,chunk45,FA1,22553842-22554290,0.448,cds,3,A,5
TSMD10,10,7220,chunk5,FA2,2277112-2277846,0.734,cds,3,C,11
TSMD10,10,7220,chunk50,FA1,30484060-30484490,0.43,cds,2,T,7
TSMD10,10,7220,chunk51,FA1,30594186-30594776,0.59,cds,3,A,5
TSMD10,10,7220,chunk51,FA1,30610467-30610937,0.47,ads,3,A,4
TSMD10,10,7220,chunk51,FA4,30631976-30632598,0.622,cds,3,A,4
TSMD10,10,7220,chunk51,FA4,30641566-30642573,1.007,cds,3,A,5
TSMD10,10,7220,chunk51,FA4,30644641-30645436,0.795,cds,3,A,4
TSMD10,10,7220,chunk51,FA4,30646015-30648287,2.272,cds,3,A,6
TSMD10,10,7220,chunk52,FA4,30659890-30661112,1.222,cds,3,A,4
TSMD11,11,2109,chunk1,FA1,3544029-3545144,1.115,ads,1,T,4
TSMD11,11,2109,chunk1,FA1,3579785-3580395,0.61,cds,3,T,5
TSMD11,11,2109,chunk1,FA1,3593258-3593900,0.642,cds,4,T,3
TSMD11,11,2109,chunk10,FA1,14351526-14352189,0.663,ads,4,A,3
TSMD11,11,2109,chunk10,FA1,14354387-14355944,1.557,ads,4,A,2
TSMD11,11,2109,chunk11,FA1,14380507-14382394,1.887,cds,4,A,4
TSMD11,11,2109,chunk11,FA1,14395418-14396095,0.677,ads,2,A,2
TSMD11,11,2109,chunk11,FA1,14397366-14398302,0.936,ads,0,A,3
TSMD11,11,2109,chunk11,FA1,14420204-14421186,0.982,cds,3,A,2
TSMD11,11,2109,chunk12,FA1,14427593-14428162,0.569,cds,0,A,5
TSMD11,11,2109,chunk12,FA1,14465746-14466302,0.556,ads,2,A,2
TSMD11,11,2109,chunk17,FA1,18168308-18168732,0.424,cds,3,T,3
TSMD11,11,2109,chunk18,FA1,20214430-20214808,0.378,ads,4,T,3
TSMD11,11,2109,chunk18,FA1,20221108-20221570,0.462,ads,4,T,3
TSMD11,11,2109,chunk18,FA1,20226792-20227076,0.284,cds,2,T,2
TSMD11,11,2109,chunk19,FA1,22712384-22713280,0.896,cds,3,T,3
TSMD11,11,2109,chunk2,FA1,3606215-3606377,0.162,cds,4,T,3
TSMD11,11,2109,chunk2,FA1,3650280-3651174,0.894,ads,4,T,5
TSMD11,11,2109,chunk21,FA1,22855732-22856108,0.376,cds,1,T,3
