participant,group,clip,clip_length,rater_Label,confidence,background_noise,happy,angry,sad,sooth,love,exaggerated,clear,nat_inf_label,recorded_child,rating_duration,rater_labeln,nat_inf_labeln
SUB1,group_2,266250-267000,750,ads,0,-2,2,2,2,2,2,2,4,A,Mahan,9,1,1
SUB1,group_2,23720-25430,1710,cds,0,-2,3,2,2,3,3,2,0,I,Illia,15,0,0
SUB1,group_2,194688-195095,407,cds,0,-2,2,2,2,2,3,2,3,I,Danial,8,0,0
SUB1,group_2,190130-190800,670,cds,0,-2,2,2,2,2,3,2,3,I,Melorin,12,0,0
SUB1,group_2,186700-188200,1500,ads,0,-2,2,2,2,2,2,2,4,A,Danial,7,1,1
SUB1,group_2,77130-78480,1350,cds,0,-2,3,2,2,3,2,2,4,A,Melorin,9,0,1
SUB1,group_2,168855-171225,2370,ads,0,-2,2,3,2,2,2,3,4,A,Mahan,15,1,1
SUB1,group_2,130165-131215,1050,ads,3,-2,2,2,2,2,2,2,1,A,Illia,13,1,1
SUB1,group_2,174711-177484,2773,cds,0,-2,3,2,2,3,3,2,4,I,Danial,18,0,0
SUB1,group_2,33825-35145,1320,cds,0,-2,3,2,3,2,2,2,3,I,Niki,19,0,0
SUB1,group_2,179515-180597,1082,cds,0,-2,3,2,2,2,3,2,4,I,Niki,9,0,0
SUB1,group_2,83505-85765,2260,cds,0,-2,2,2,2,2,2,2,2,I,Niki,4,0,0
SUB1,group_2,217223-219438,2215,ads,0,-2,3,2,2,3,3,2,4,I,Amirali,13,1,0
SUB1,group_2,265262-266569,1307,cds,0,-2,3,2,2,3,3,2,2,I,Danial,20,0,0
SUB1,group_2,234215-235405,1190,ads,0,-2,2,2,2,2,2,2,4,A,Mahan,8,1,1
SUB1,group_2,18980-23420,4440,cds,0,-2,2,2,2,2,2,2,4,A,Ali,14,0,1
SUB1,group_2,125350-126390,1040,ads,3,-2,2,2,2,2,2,2,2,A,Melorin,9,1,1
SUB1,group_2,202150-203770,1620,ads,0,-2,2,2,2,2,2,2,4,A,Danial,7,1,1
SUB1,group_2,43330-44890,1560,cds,0,-2,2,2,2,2,2,2,4,A,Illia,34,0,1
SUB1,group_2,58450-61130,2680,cds,0,-2,2,2,2,2,2,2,3,A,Ali,4,0,1
SUB1,group_2,32924-33532,608,cds,0,-2,2,2,3,2,2,2,3,I,Illia,7,0,0
SUB1,group_2,21880-22790,910,ads,0,-2,2,2,2,2,2,2,4,I,Vihan,8,1,0
SUB1,group_2,177037-177855,818,cds,0,-2,3,2,2,3,3,2,4,I,Illia,9,0,0
SUB1,group_2,116692-117639,947,cds,3,-2,2,2,2,0,2,2,0,I,Ali,22,0,0
SUB1,group_2,54180-63560,9380,cds,0,-2,2,2,2,2,2,2,4,A,Amirali,5,0,1
SUB1,group_2,52440-54160,1720,cds,0,-2,2,2,2,2,2,2,4,I,Melorin,5,0,0
SUB1,group_2,124010-124710,700,cds,3,-2,2,2,2,2,2,2,2,I,Mahan,11,0,0
SUB1,group_2,13020-14290,1270,ads,3,-2,2,2,2,2,2,2,4,A,Diana,13,1,1
SUB1,group_2,114390-118490,4100,cds,3,-2,2,2,2,2,2,2,1,I,Vihan,12,0,0
SUB1,group_2,296659-298181,1522,cds,0,-2,3,2,2,2,2,2,3,I,Amirali,7,0,0
SUB1,group_2,195320-196500,1180,cds,0,-2,2,2,2,2,2,2,3,I,Melorin,4,0,0
SUB1,group_2,230290-231310,1020,cds,0,-2,3,2,2,2,2,2,4,I,Vihan,11,0,0
SUB1,group_2,20185-20520,335,ads,0,-2,2,2,2,2,2,2,3,I,Danial,8,1,0
SUB1,group_2,230580-231200,620,cds,0,-2,2,2,2,2,2,2,3,A,Mahan,6,0,1
SUB1,group_2,11410-13580,2170,cds,0,-2,2,2,2,2,2,2,2,I,Melorin,14,0,0
SUB1,group_2,183515-184345,830,ads,0,-2,3,2,2,2,2,2,4,A,Ali,14,1,1
SUB1,group_2,274195-276145,1950,cds,0,-2,3,2,2,2,2,2,4,I,Vihan,13,0,0
SUB1,group_2,241131-241877,746,cds,0,-2,3,2,2,2,2,2,3,I,Danial,10,0,0
SUB1,group_2,43855-44825,970,cds,0,-2,2,2,2,2,2,2,4,A,Melorin,7,0,1
SUB1,group_2,54759-56862,2103,cds,0,-2,2,2,2,2,2,2,2,I,Danial,8,0,0
SUB1,group_2,255210-256680,1470,cds,0,-2,2,2,2,2,3,3,2,I,Vihan,11,0,0
SUB1,group_2,202360-203650,1290,cds,0,-2,2,2,2,2,2,2,4,I,Mahan,10,0,0
SUB1,group_2,9300-10730,1430,cds,0,-2,2,2,2,2,2,2,4,A,Vihan,4,0,1
SUB1,group_2,148705-150495,1790,ads,0,-2,2,2,2,2,2,2,4,I,Melorin,9,1,0
SUB1,group_2,233567-235653,2086,ads,0,-2,2,2,2,2,2,2,4,I,Amirali,21,1,0
SUB1,group_2,74460-76610,2150,cds,0,-2,2,2,2,3,3,3,4,A,Melorin,9,0,1
SUB1,group_2,248980-250430,1450,ads,0,-2,2,2,2,2,2,2,3,A,Vihan,15,1,1
SUB1,group_2,188305-190645,2340,cds,0,-2,2,2,2,2,2,4,4,A,Mahan,6,0,1
SUB1,group_2,209420-210400,980,cds,0,-2,2,2,2,3,2,2,3,I,Mahan,5,0,0
SUB1,group_2,48755-51725,2970,ads,0,-2,3,2,2,2,2,2,0,A,Niki,11,1,1
SUB1,group_2,212103-213842,1739,cds,0,-2,2,2,2,3,3,2,4,I,Diana,10,0,0
SUB1,group_2,65535-66635,1100,cds,0,-2,2,2,2,2,2,2,3,I,Niki,6,0,0
SUB1,group_2,15260-22820,7560,ads,0,-2,2,3,2,2,2,2,4,A,Mahan,16,1,1
SUB1,group_2,177320-179360,2040,cds,0,-2,2,2,2,2,2,3,4,I,Mahan,10,0,0
SUB1,group_2,119300-120770,1470,cds,3,-2,2,2,2,2,2,2,2,I,Melorin,14,0,0
SUB1,group_2,48480-50520,2040,cds,0,-2,3,2,2,2,3,2,2,I,Niki,12,0,0
SUB1,group_2,132039-134885,2846,cds,3,-2,2,2,2,2,2,2,4,I,Diana,13,0,0
SUB1,group_2,73935-78935,5000,cds,0,-2,2,2,2,2,3,2,4,A,Danial,8,0,1
SUB1,group_2,70690-72210,1520,cds,0,-2,2,2,2,2,2,2,4,I,Illia,11,0,0
SUB1,group_2,68230-69520,1290,cds,0,-2,2,2,2,2,2,2,3,A,Vihan,6,0,1
SUB1,group_2,136120-136930,810,cds,3,-2,2,2,2,2,2,2,4,I,Vihan,13,0,0
SUB1,group_2,71540-73300,1760,cds,0,-2,2,2,2,2,2,3,3,A,Illia,7,0,1
SUB1,group_2,37605-38965,1360,cds,0,-2,2,2,2,2,2,2,4,A,Ali,9,0,1
SUB1,group_2,54520-55630,1110,ads,0,-2,2,2,2,2,2,2,4,I,Illia,12,1,0
SUB10,group_4,256730-259070,2340,cds,0,-2,2,2,2,1,1,2,2,I,Vihan,23,0,0
SUB10,group_4,17050-21150,4100,ads,0,-2,2,2,2,2,2,2,2,A,Vihan,24,1,1
SUB10,group_4,208159-210565,2406,cds,0,-2,3,1,0,4,4,3,2,I,Danial,26,0,0
SUB10,group_4,103885-104675,790,cds,0,-2,1,1,3,2,2,2,1,A,Vihan,46,0,1
SUB10,group_4,48790-51460,2670,cds,0,-2,2,0,0,3,3,2,2,I,Diana,17,0,0
SUB10,group_4,77815-80345,2530,ads,0,-2,3,0,0,2,3,1,2,A,Illia,17,1,1
SUB10,group_4,197960-201150,3190,ads,0,-2,1,1,3,2,2,2,2,A,Diana,25,1,1
SUB10,group_4,49330-51745,2415,cds,0,-2,2,2,2,2,2,2,1,I,Amirali,30,0,0
SUB10,group_4,208945-210885,1940,cds,0,-2,2,3,1,2,3,2,2,I,Vihan,28,0,0
SUB10,group_4,157784-160966,3182,cds,0,-2,3,1,1,3,3,2,1,I,Niki,58,0,0
SUB10,group_4,102273-103033,760,ads,0,-2,2,0,1,1,2,2,1,I,Ali,42,1,0
SUB10,group_4,339850-342017,2167,cds,0,-2,4,0,0,4,4,4,2,I,Ali,12,0,0
SUB10,group_4,135110-136040,930,ads,0,-2,2,2,2,2,2,2,2,I,Melorin,30,1,0
SUB10,group_4,207230-208310,1080,cds,0,-2,2,2,2,2,2,2,1,A,Vihan,33,0,1
SUB10,group_4,98050-98720,670,cds,0,-2,3,0,0,4,4,2,2,I,Niki,13,0,0
SUB10,group_4,255830-258740,2910,ads,0,-2,3,0,0,2,2,2,3,I,Mahan,19,1,0
SUB10,group_4,134298-134898,600,cds,0,-2,1,2,3,1,2,2,2,A,Illia,52,0,1
SUB10,group_4,43155-46625,3470,ads,0,-2,3,0,0,2,3,2,2,A,Diana,14,1,1
SUB10,group_4,39661-41001,1340,cds,0,-2,4,1,1,4,4,4,2,I,Danial,14,0,0
SUB10,group_4,224770-226690,1920,cds,0,-2,2,1,3,2,0,0,0,I,Vihan,68,0,0
SUB10,group_4,251935-253521,1586,cds,0,-2,3,0,0,3,3,2,2,I,Danial,15,0,0
SUB10,group_4,294055-296255,2200,cds,0,-2,3,2,2,2,3,2,2,I,Mahan,112,0,0
SUB10,group_4,50225-51555,1330,cds,0,-2,4,0,0,2,2,1,2,A,Melorin,15,0,1
SUB10,group_4,88930-90203,1273,cds,0,-2,3,0,0,3,3,3,2,I,Illia,35,0,0
SUB10,group_4,296960-298115,1155,cds,0,-2,3,0,0,2,2,4,2,I,Illia,30,0,0
SUB10,group_4,313531-316409,2878,cds,0,-2,3,0,0,2,2,3,2,I,Amirali,19,0,0
SUB10,group_4,93519-93955,436,cds,0,-2,2,1,1,3,3,3,1,I,Illia,17,0,0
SUB10,group_4,121492-124271,2779,cds,0,-2,3,0,0,3,4,4,1,I,Amirali,33,0,0
SUB10,group_4,358993-360206,1213,cds,0,-2,3,1,1,4,4,2,2,I,Ali,26,0,0
SUB10,group_4,88985-91685,2700,ads,0,-2,2,0,0,2,2,2,2,A,Amirali,18,1,1
SUB10,group_4,41465-45325,3860,ads,0,-2,1,0,0,0,2,1,2,A,Vihan,37,1,1
SUB10,group_4,85430-87380,1950,cds,0,-2,3,0,0,3,3,3,2,I,Diana,20,0,0
SUB10,group_4,82175-83285,1110,ads,0,-2,3,1,1,3,3,2,2,I,Illia,13,1,0
SUB10,group_4,41475-43585,2110,cds,0,-2,3,3,2,4,4,3,2,I,Niki,74,0,0
SUB10,group_4,157040-158930,1890,ads,0,-2,2,2,2,2,2,2,2,A,Diana,12,1,1
SUB10,group_4,30220-31060,840,cds,0,-2,2,2,2,2,2,2,1,A,Danial,39,0,1
SUB10,group_4,133780-136200,2420,cds,0,-2,2,0,0,4,4,2,2,A,Diana,28,0,1
SUB10,group_4,207365-208865,1500,cds,0,-2,4,0,0,4,4,4,1,I,Niki,16,0,0
SUB10,group_4,295470-297163,1693,ads,0,-2,2,2,2,2,2,2,0,I,Danial,18,1,0
SUB10,group_4,231259-235023,3764,cds,0,-2,4,1,1,4,4,3,2,I,Illia,14,0,0
SUB10,group_4,164781-166096,1315,cds,0,-2,3,2,2,3,3,3,1,I,Diana,14,0,0
SUB10,group_4,159720-164130,4410,cds,0,-2,2,2,2,1,1,1,2,A,Diana,48,0,1
SUB10,group_4,5410-5980,570,ads,0,-2,2,2,2,2,2,2,1,I,Vihan,33,1,0
SUB10,group_4,214860-215640,780,cds,0,-2,2,3,1,1,2,2,2,I,Vihan,75,0,0
SUB10,group_4,100665-103335,2670,ads,0,-2,3,0,2,2,3,2,3,A,Diana,218,1,1
SUB10,group_4,218135-219775,1640,ads,0,-2,2,3,2,3,2,2,2,A,Vihan,39,1,1
SUB10,group_4,119615-121225,1610,ads,0,-2,2,2,2,2,2,2,2,A,Mahan,18,1,1
SUB10,group_4,337497-338330,833,cds,0,-2,3,1,1,4,2,3,2,I,Ali,35,0,0
SUB10,group_4,70965-73455,2490,ads,0,-2,2,2,2,2,2,2,2,I,Mahan,18,1,0
SUB10,group_4,16530-24800,8270,cds,0,-2,3,2,2,1,1,1,2,A,Niki,23,0,1
SUB10,group_4,9050-10680,1630,ads,0,-2,3,1,1,2,2,2,2,A,Danial,46,1,1
SUB10,group_4,54990-57880,2890,ads,0,-2,3,0,0,2,2,2,1,A,Ali,32,1,1
SUB10,group_4,127390-128730,1340,cds,0,-2,3,1,1,3,3,2,2,I,Melorin,31,0,0
SUB10,group_4,91250-91930,680,ads,0,-2,3,0,0,2,2,2,2,A,Illia,18,1,1
SUB10,group_4,376076-376722,646,cds,0,-2,2,2,2,2,2,2,1,I,Ali,16,0,0
