Date coded,Coder,Recording,Chunk,Block,Part,Length (ms),cds_ads,confidence_level,Original Label,Duration,Comments
12:19:20 27Jan2020,TSMD11,8787,chunk14,FA2,9183157-9184142,0.985,cds,2,T,6,None
12:19:54 27Jan2020,TSMD11,8787,chunk20,FA1,14545620-14546254,0.634,cds,3,C,3,None
12:20:02 27Jan2020,TSMD11,8787,chunk21,FA1,14601533-14601986,0.453,ads,3,C,5,None
12:20:07 27Jan2020,TSMD11,8787,chunk21,FA1,14654466-14654861,0.395,cds,2,C,4,None
12:20:40 27Jan2020,TSMD11,8787,chunk31,FA2,19487165-19487565,0.4,cds,2,T,4,None
12:20:21 27Jan2020,TSMD11,8787,chunk27,FA1,15261275-15261815,0.54,cds,1,T,5,None
12:20:15 27Jan2020,TSMD11,8787,chunk27,FA1,15247140-15247970,0.83,cds,3,T,5,None
12:20:28 27Jan2020,TSMD11,8787,chunk30,FA2,19405200-19407670,2.47,ads,4,T,5,None
12:20:34 27Jan2020,TSMD11,8787,chunk30,FA2,19437965-19438269,0.304,ads,4,T,4,None
12:20:48 27Jan2020,TSMD11,8787,chunk32,FA2,19515289-19516639,1.35,cds,2,A,5,None
12:21:02 27Jan2020,TSMD11,8787,chunk32,FA2,19543969-19547395,3.426,cds,1,C,8,None
12:20:53 27Jan2020,TSMD11,8787,chunk32,FA2,19535129-19537143,2.014,cds,4,C,4,None
12:21:27 27Jan2020,TSMD11,8787,chunk47,FA2,28186905-28188000,1.095,cds,4,T,4,None
12:21:07 27Jan2020,TSMD11,8787,chunk37,FA1,25568287-25570482,2.195,ads,3,C,3,None
09:50:34 27Jan2020,TSMD10,7220,chunk28,FA3,10140781-10142982,2.201,cds,3,A,9,None
09:51:51 27Jan2020,TSMD10,7220,chunk38,FA1,15710148-15711393,1.245,cds,3,C,6,None
09:50:13 27Jan2020,TSMD10,7220,chunk23,FA2,6314238-6315155,0.917,cds,1,A,11,None
09:51:41 27Jan2020,TSMD10,7220,chunk37,FA1,15668705-15669471,0.766,cds,4,A,7,None
09:50:55 27Jan2020,TSMD10,7220,chunk31,FA3,10331446-10332114,0.668,cds,3,A,6,None
09:51:09 27Jan2020,TSMD10,7220,chunk31,FA3,10333771-10334051,0.28,cds,3,A,12,None
09:50:46 27Jan2020,TSMD10,7220,chunk30,FA2,10259792-10260960,1.168,cds,4,A,6,None
09:41:59 27Jan2020,TSMD10,7220,chunk24,FA1,6382150-6384698,2.548,cds,4,A,15,None
09:52:13 27Jan2020,TSMD10,7220,chunk41,FA2,16862720-16863544,0.824,cds,3,A,6,None
09:49:41 27Jan2020,TSMD10,7220,chunk5,FA2,2277112-2277846,0.734,cds,3,C,11,None
09:51:30 27Jan2020,TSMD10,7220,chunk33,FA1,15234570-15235390,0.82,ads,3,T,5,None
09:51:23 27Jan2020,TSMD10,7220,chunk33,FA1,15227970-15228840,0.87,cds,3,T,8,None
09:52:28 27Jan2020,TSMD10,7220,chunk45,FA1,22553842-22554290,0.448,cds,3,A,5,None
09:52:22 27Jan2020,TSMD10,7220,chunk45,FA1,22509634-22510507,0.873,ads,3,A,5,None
09:52:03 27Jan2020,TSMD10,7220,chunk40,FA2,16769798-16770312,0.514,ads,3,A,8,None
09:53:30 27Jan2020,TSMD10,7220,chunk52,FA4,30659890-30661112,1.222,cds,3,A,4,None
09:52:49 27Jan2020,TSMD10,7220,chunk51,FA1,30594186-30594776,0.59,cds,3,A,5,None
09:52:55 27Jan2020,TSMD10,7220,chunk51,FA1,30610467-30610937,0.47,ads,3,A,4,None
09:53:14 27Jan2020,TSMD10,7220,chunk51,FA4,30644641-30645436,0.795,cds,3,A,4,None
