Date coded,Coder,Recording,Chunk,Block,Part,Length (ms),include_exclude,confidence_level,sounded_happy,sounded_soothing,sounded_loving,sounded_exited,Original Label,Duration,Comments
12:34:56 17Jan2020,TSMA10,7220,chunk33,FA1,15227970-15228840,0.87,unlabeled,3,2,0,1,2,T,8,None
12:36:56 17Jan2020,TSMA10,7220,chunk45,FA1,22553842-22554290,0.448,unlabeled,2,1,0,0,1,A,13,None
12:36:41 17Jan2020,TSMA10,7220,chunk45,FA1,22509634-22510507,0.873,unlabeled,0,1,1,1,1,A,13,None
12:36:02 17Jan2020,TSMA10,7220,chunk40,FA2,16769798-16770312,0.514,unlabeled,1,0,0,0,0,A,20,None
12:38:47 17Jan2020,TSMA10,7220,chunk52,FA4,30659890-30661112,1.222,unlabeled,3,1,0,0,1,A,11,None
12:37:28 17Jan2020,TSMA10,7220,chunk51,FA1,30594186-30594776,0.59,unlabeled,2,0,0,0,2,A,11,None
12:37:41 17Jan2020,TSMA10,7220,chunk51,FA1,30610467-30610937,0.47,unlabeled,4,1,0,0,4,A,12,None
12:38:21 17Jan2020,TSMA10,7220,chunk51,FA4,30644641-30645436,0.795,unlabeled,4,4,0,3,4,A,13,None
12:38:06 17Jan2020,TSMA10,7220,chunk51,FA4,30641566-30642573,1.007,unlabeled,4,4,0,2,4,A,10,None
12:37:55 17Jan2020,TSMA10,7220,chunk51,FA4,30631976-30632598,0.622,unlabeled,3,0,0,0,1,A,10,None
12:38:33 17Jan2020,TSMA10,7220,chunk51,FA4,30646015-30648287,2.272,unlabeled,3,1,0,0,0,A,10,None
12:37:13 17Jan2020,TSMA10,7220,chunk50,FA1,30484060-30484490,0.43,unlabeled,3,1,0,0,2,T,9,None
12:22:30 17Jan2020,TSMA10,0643,chunk39,FA2,26530416-26532096,1.68,unlabeled,4,4,1,4,4,T,9,None
12:22:44 17Jan2020,TSMA10,0643,chunk39,FA2,26551008-26551304,0.296,unlabeled,1,0,0,0,1,C,12,None
12:15:11 17Jan2020,TSMA10,0643,chunk13,FA1,11278211-11279081,0.87,unlabeled,4,0,2,1,0,T,16,None
12:15:51 17Jan2020,TSMA10,0643,chunk13,FA1,11283035-11283520,0.485,unlabeled,4,2,4,4,1,T,11,None
12:16:12 17Jan2020,TSMA10,0643,chunk13,FA1,11288834-11290778,1.944,unlabeled,3,3,1,2,1,T,17,None
12:16:38 17Jan2020,TSMA10,0643,chunk13,FA1,11291655-11293667,2.012,unlabeled,4,1,0,2,1,T,24,None
12:14:54 17Jan2020,TSMA10,0643,chunk13,FA1,11276259-11276870,0.611,unlabeled,4,0,0,0,0,T,10,None
12:15:38 17Jan2020,TSMA10,0643,chunk13,FA1,11280553-11281555,1.002,unlabeled,3,1,1,1,3,T,23,None
12:14:36 17Jan2020,TSMA10,0643,chunk11,FA1,11135799-11136280,0.481,unlabeled,4,2,4,4,1,T,18,None
12:14:16 17Jan2020,TSMA10,0643,chunk11,FA1,11130100-11130710,0.61,unlabeled,4,2,3,2,3,T,15,None
12:17:51 17Jan2020,TSMA10,0643,chunk17,FA2,14258333-14259264,0.931,unlabeled,4,0,0,0,4,C,10,None
12:17:22 17Jan2020,TSMA10,0643,chunk16,FA1,11450262-11451442,1.18,unlabeled,4,2,1,3,3,T,9,None
12:17:37 17Jan2020,TSMA10,0643,chunk16,FA1,11460013-11460782,0.769,unlabeled,4,3,2,1,2,T,12,None
12:17:10 17Jan2020,TSMA10,0643,chunk15,FA1,11402131-11403831,1.7,unlabeled,4,0,0,0,0,C,8,None
12:17:00 17Jan2020,TSMA10,0643,chunk15,FA1,11395987-11397225,1.238,unlabeled,4,0,0,0,1,C,13,None
